Atomic number,Atomic symbol,polarizability_bohr_radius_cubed,Uncertainty,In 10^-24 cm^-3,R,V cm^3,R/V
1,H ,4.50711,3E-05,0.66788158824,1.68472426774664,11200,0.00015042180962
2,He ,1.38375,2E-05,0.20504961,0.517235480273261,22420,2.30702711986289E-05
3,Li ,164.1125,0.0005,24.3188467,61.3440345122642,13,4.71877188555878
4,Be ,37.74,0.03,5.59246416,14.106931906423,4.877,2.89254293754829
5,B ,20.5,0.1,3.037772,7.66274785590016,4.394,1.743911664975
6,C ,11.3,0.2,1.6744792,4.2238561352035,5.315,0.794704823180339
7,N ,7.4,0.2,1.0965616,2.76606507969079,11200,0.000246970096401
8,O ,5.3,0.2,0.7853752,1.98110066518394,11200,0.000176883987963
9,F ,3.74,0.08,0.55420816,1.39798424297886,11200,0.000124820021695
10,Ne ,2.6611,3E-05,0.3943324424,0.994699430211508,22400,4.44062245630138E-05
11,Na ,162.7,0.5,24.1095368,60.8160524953637,23.78,2.55744543714734
12,Mg ,71.2,0.4,10.5507008,26.6140315775654,14,1.90100225554039
13,Al ,57.8,1,8.5650352,21.6052110278551,10,2.16052110278551
14,Si ,37.3,0.7,5.5272632,13.9424631719549,12.0588,1.15620651905288
15,P ,25,1,3.7046,9.34481445841483,11.44,0.816854410700597
16,S ,19.4,0.1,2.8747696,7.25157601972991,15.53,0.466939859609138
17,Cl ,14.6,0.1,2.1634864,5.45737164371426,11030,0.00049477530768
18,Ar ,11.083,0.007,1.642323272,4.14274314570446,22.56,0.183632231635836
19,K ,289.7,0.3,42.9289048,108.287709944111,45.7,2.36953413444444
20,Ca ,160.8,4,23.8279872,60.1058465965242,26.2,2.29411628231008
21,Sc ,97,10,14.373848,36.2578800986495,15,2.41719200657664
22,Ti ,100,10,14.8184,37.3792578336593,10.64,3.51308814226121
23,V ,87,10,12.892008,32.5199543152836,8.32,3.90864835520236
24,Cr ,83,12,12.299272,31.0247840019372,7.23,4.29111811921677
25,Mn ,68,9,10.076512,25.4178953268883,7.35,3.45821705127732
26,Fe ,62,4,9.187408,23.1751398568688,7.09,3.26870801930448
27,Co ,55,4,8.15012,20.5585918085126,6.67,3.08224764745317
28,Ni ,49,3,7.261016,18.3158363384931,6.59,2.77933783588666
29,Cu ,46.5,0.5,6.890556,17.3813548926516,7.11,2.44463500599882
30,Zn ,38.67,0.3,5.73027528,14.4545590042761,9.16,1.57800862492097
31,Ga ,50,3,7.4092,18.6896289168297,11.803,1.58346428169361
32,Ge ,40,1,5.92736,14.9517031334637,13.63,1.0969701491903
33,As ,30,1,4.44552,11.2137773500978,12.95,0.865928752903305
34,Se ,28.9,1,4.2825176,10.8026055139275,16.42,0.657893149447475
35,Br ,21,1,3.111864,7.84964414506846,19.78,0.396847530084351
36,Kr ,16.78,0.02,2.48652752,6.27223946448803,27.095,0.231490661173207
37,Rb ,319.8,0.3,47.3892432,119.538866552043,55.76,2.14381037575399
38,Sr ,197.2,0.2,29.2218848,73.7118964479762,33.94,2.17182959481368
39,Y ,162,12,24.005808,60.5543976905281,19.88,3.04599585968451
40,Zr ,112,13,16.596608,41.8647687736984,14.024,2.9852231013761
